antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
frozenset({'Coffee'}),frozenset({'Alfajores'}),0.47839408346539886,0.036344426835710514,0.0196513470681458,0.04107773851590106,1.1302348693401265,1.0,0.002264388303000825,1.0049360744559888,0.22091035215761612,0.03969270166453265,0.004911829300844592,0.2908877064672528,1,1
frozenset({'Alfajores'}),frozenset({'Coffee'}),0.036344426835710514,0.47839408346539886,0.0196513470681458,0.5406976744186046,1.1302348693401265,1.0,0.002264388303000825,1.1356483246069797,0.11957399502271142,0.03969270166453265,0.11944571366661787,0.2908877064672528,1,1
frozenset({'Bread'}),frozenset({'Pastry'}),0.32720549392498677,0.0861067089276281,0.029160063391442156,0.08911850177591218,1.034977447004919,1.0,0.0009854751665225349,1.0033064595714767,0.050231342400408,0.07590759075907591,0.0032955629258969743,0.21388440426218921,1,1
frozenset({'Pastry'}),frozenset({'Bread'}),0.0861067089276281,0.32720549392498677,0.029160063391442156,0.33865030674846625,1.0349774470049187,1.0,0.0009854751665225349,1.017305236458508,0.036979559353271456,0.07590759075907591,0.017010859512285374,0.21388440426218921,1,1
frozenset({'Coffee'}),frozenset({'Brownie'}),0.47839408346539886,0.04004226096143687,0.0196513470681458,0.04107773851590106,1.025859617554099,1.0,0.000495366335616889,1.0010798347228498,0.04832720231911344,0.03939843253547977,0.0010786699375966934,0.2659214550099294,1,1
frozenset({'Brownie'}),frozenset({'Coffee'}),0.04004226096143687,0.47839408346539886,0.0196513470681458,0.4907651715039578,1.025859617554099,1.0,0.000495366335616889,1.0242934837648388,0.026259233749665756,0.03939843253547977,0.02371730773444614,0.2659214550099294,1,1
frozenset({'Coffee'}),frozenset({'Cake'}),0.47839408346539886,0.10385631273111463,0.054727945060750134,0.11439929328621908,1.101515067094673,1.0,0.005043699519652715,1.0119048917589808,0.17668413516094297,0.10374524334067695,0.011764832699135055,0.3206787921161513,1,1
frozenset({'Cake'}),frozenset({'Coffee'}),0.10385631273111463,0.47839408346539886,0.054727945060750134,0.5269582909460835,1.1015150670946732,1.0,0.005043699519652715,1.1026636902226088,0.10284008197236212,0.10374524334067695,0.09310516990169738,0.3206787921161513,1,1
frozenset({'Hot chocolate'}),frozenset({'Cake'}),0.05832012678288431,0.10385631273111463,0.011410459587955626,0.1956521739130435,1.883873678623557,1.0,0.005353546262274139,1.1141245841721277,0.49823603475572514,0.07568325157673439,0.10243431102180578,0.152759962846654,1,1
frozenset({'Cake'}),frozenset({'Hot chocolate'}),0.10385631273111463,0.05832012678288431,0.011410459587955626,0.1098677517802645,1.883873678623557,1.0,0.005353546262274139,1.0579100747113426,0.5235531452225628,0.07568325157673439,0.05474007299452525,0.152759962846654,1,1
frozenset({'Tea'}),frozenset({'Cake'}),0.14263074484944532,0.10385631273111463,0.02377179080824089,0.16666666666666669,1.6047812817904377,1.0,0.008958687566085076,1.0753724247226626,0.4395563770794824,0.10673624288425049,0.07008960150907807,0.1977789081044422,1,1
frozenset({'Cake'}),frozenset({'Tea'}),0.10385631273111463,0.14263074484944532,0.02377179080824089,0.2288911495422177,1.6047812817904374,1.0,0.008958687566085076,1.1118654060857458,0.42053760905446824,0.10673624288425049,0.10061056443833524,0.1977789081044422,1,1
frozenset({'Coffee'}),frozenset({'Cookies'}),0.47839408346539886,0.054410987849973586,0.02820919175911252,0.05896643109540636,1.083722854986449,1.0,0.002179297096177455,1.0048408934558366,0.14810962699299574,0.055904522613065326,0.004817572102572205,0.288706516518577,1,1
frozenset({'Cookies'}),frozenset({'Coffee'}),0.054410987849973586,0.47839408346539886,0.02820919175911252,0.5184466019417476,1.083722854986449,1.0,0.002179297096177455,1.083173576674676,0.08170024899043797,0.055904522613065326,0.07678693282937839,0.288706516518577,1,1
frozenset({'Hot chocolate'}),frozenset({'Coffee'}),0.05832012678288431,0.47839408346539886,0.029582673005810883,0.5072463768115942,1.0603107236134584,1.0,0.0016826694059270814,1.0585531835555142,0.060402942732124765,0.058333333333333334,0.05531435214132859,0.28454191632099146,1,1
frozenset({'Coffee'}),frozenset({'Hot chocolate'}),0.47839408346539886,0.05832012678288431,0.029582673005810883,0.061837455830388695,1.0603107236134584,1.0,0.0016826694059270814,1.003749168061935,0.10904829422147619,0.058333333333333334,0.003735164303223267,0.28454191632099146,1,1
frozenset({'Juice'}),frozenset({'Coffee'}),0.03856312731114633,0.47839408346539886,0.020602218700475437,0.5342465753424658,1.11674996369621,1.0,0.0021538467549000982,1.1199185855007614,0.10873767258382645,0.041507024265644954,0.10707794928426947,0.28865597318360037,1,1
frozenset({'Coffee'}),frozenset({'Juice'}),0.47839408346539886,0.03856312731114633,0.020602218700475437,0.04306537102473498,1.11674996369621,1.0,0.0021538467549000982,1.004704860266589,0.20042795635260696,0.041507024265644954,0.004682828214188641,0.28865597318360037,1,1
frozenset({'Coffee'}),frozenset({'Medialuna'}),0.47839408346539886,0.061806656101426306,0.03518225039619651,0.07354240282685512,1.1898783636857841,1.0,0.00561431179849357,1.0126673328182936,0.30593587308191295,0.06966527196652719,0.012508878688759427,0.32138658602881215,1,1
frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061806656101426306,0.47839408346539886,0.03518225039619651,0.5692307692307692,1.1898783636857841,1.0,0.00561431179849357,1.2108708776696098,0.17009069880691494,0.06966527196652719,0.17414811236970434,0.32138658602881215,1,1
frozenset({'Coffee'}),frozenset({'Muffin'}),0.47839408346539886,0.03845747490755415,0.018806127839408347,0.03931095406360424,1.0221928027802587,1.0,0.00040829937861540724,1.0008884031307115,0.04162333036712016,0.03775986423419601,0.0008876145711475813,0.2641609715372966,1,1
frozenset({'Muffin'}),frozenset({'Coffee'}),0.03845747490755415,0.47839408346539886,0.018806127839408347,0.489010989010989,1.0221928027802585,1.0,0.00040829937861540724,1.0207771699924455,0.022579318978405916,0.03775986423419601,0.020354265948756462,0.2641609715372966,1,1
frozenset({'Pastry'}),frozenset({'Coffee'}),0.0861067089276281,0.47839408346539886,0.04754358161648178,0.5521472392638037,1.154168202215526,1.0,0.006350641518827256,1.1646817040430137,0.146160565189467,0.09196811771919068,0.1413963175272234,0.32576443235274993,1,1
frozenset({'Coffee'}),frozenset({'Pastry'}),0.47839408346539886,0.0861067089276281,0.04754358161648178,0.09938162544169611,1.154168202215526,1.0,0.006350641518827256,1.014739779788058,0.2560844417437491,0.09196811771919068,0.014525674544006207,0.32576443235274993,1,1
frozenset({'Coffee'}),frozenset({'Sandwich'}),0.47839408346539886,0.07184363444268357,0.038246170100369785,0.0799469964664311,1.1127916493452503,1.0,0.0038766004483390126,1.0088074947776113,0.19432137753372025,0.07470078415187784,0.00873060006314972,0.30614996882145085,1,1
frozenset({'Sandwich'}),frozenset({'Coffee'}),0.07184363444268357,0.47839408346539886,0.038246170100369785,0.5323529411764706,1.1127916493452503,1.0,0.0038766004483390126,1.1153837208916,0.1092048538285688,0.07470078415187784,0.10344755686353937,0.30614996882145085,1,1
frozenset({'Coffee'}),frozenset({'Scone'}),0.47839408346539886,0.03454833597464342,0.018066561014263075,0.03776501766784452,1.0931067040554998,1.0,0.0015388414904188678,1.0033429274057413,0.16329612770025126,0.03650725875320239,0.0033317894753937855,0.2803503987421792,1,1
frozenset({'Scone'}),frozenset({'Coffee'}),0.03454833597464342,0.47839408346539886,0.018066561014263075,0.5229357798165138,1.0931067040554998,1.0,0.0015388414904188678,1.0933662481206066,0.08822422657650915,0.03650725875320239,0.08539338787994802,0.2803503987421792,1,1
frozenset({'Coffee'}),frozenset({'Spanish Brunch'}),0.47839408346539886,0.018172213417855257,0.010882197569994718,0.022747349823321553,1.2517655004519679,1.0,0.0021887181874222297,1.0046816311059779,0.3855944119202928,0.022405916902327606,0.004659815568464273,0.31079227956282357,1,1
frozenset({'Spanish Brunch'}),frozenset({'Coffee'}),0.018172213417855257,0.47839408346539886,0.010882197569994718,0.5988372093023255,1.2517655004519679,1.0,0.0021887181874222297,1.3002350383181362,0.2048509213010315,0.022405916902327606,0.23090828155691936,0.31079227956282357,1,1
frozenset({'Coffee'}),frozenset({'Toast'}),0.47839408346539886,0.03359746434231379,0.023666138404648707,0.04946996466431095,1.4724314954330286,1.0,0.007593310243846081,1.01669857840567,0.6151219653346449,0.0484638684552142,0.016424315682486406,0.3769362401937907,1,1
frozenset({'Toast'}),frozenset({'Coffee'}),0.03359746434231379,0.47839408346539886,0.023666138404648707,0.7044025157232704,1.4724314954330286,1.0,0.007593310243846081,1.7645817176383314,0.33200580986740375,0.0484638684552142,0.4332934598583662,0.3769362401937907,1,1
frozenset({'Tea'}),frozenset({'Sandwich'}),0.14263074484944532,0.07184363444268357,0.014368726888536715,0.10074074074074074,1.4022222222222223,1.0,0.004121615795285492,1.0321343439064063,0.3345656192236599,0.07180570221752904,0.03113387718965408,0.15037037037037038,1,1
frozenset({'Sandwich'}),frozenset({'Tea'}),0.07184363444268357,0.14263074484944532,0.014368726888536715,0.2,1.4022222222222223,1.0,0.004121615795285492,1.0717115689381933,0.309049516220831,0.07180570221752904,0.06691312384473198,0.15037037037037038,1,1
"frozenset({'Bread', 'Coffee'})",frozenset({'Cake'}),0.09001584786053883,0.10385631273111463,0.010036978341257264,0.11150234741784038,1.0736212800710674,1.0,0.0006882642950967067,1.0086055766883624,0.07535610185337947,0.05459770114942529,0.008532152594890255,0.10407263861227725,2,1
frozenset({'Cake'}),"frozenset({'Bread', 'Coffee'})",0.10385631273111463,0.09001584786053883,0.010036978341257264,0.09664292980671414,1.0736212800710674,1.0,0.0006882642950967067,1.007336060307534,0.07651993695627887,0.05459770114942529,0.0072826344619237576,0.10407263861227725,1,2
"frozenset({'Bread', 'Coffee'})",frozenset({'Pastry'}),0.09001584786053883,0.0861067089276281,0.011199154780771263,0.12441314553990611,1.4448716840922837,1.0,0.003448186370170191,1.0437494423507518,0.33835426483442105,0.06790518898142217,0.04191565578441749,0.1272372476165788,2,1
frozenset({'Pastry'}),"frozenset({'Bread', 'Coffee'})",0.0861067089276281,0.09001584786053883,0.011199154780771263,0.13006134969325153,1.4448716840922837,1.0,0.003448186370170191,1.0460325585242043,0.33690696913512924,0.06790518898142217,0.044006812358832664,0.1272372476165788,1,2
"frozenset({'Tea', 'Coffee'})",frozenset({'Cake'}),0.049867934495509775,0.10385631273111463,0.010036978341257264,0.20127118644067796,1.9379773953825197,1.0,0.0048578785410368615,1.1219623883048115,0.5094008790462757,0.06985294117647059,0.10870452483624343,0.14895705812369606,2,1
"frozenset({'Coffee', 'Cake'})",frozenset({'Tea'}),0.054727945060750134,0.14263074484944532,0.010036978341257264,0.1833976833976834,1.2858215358215357,1.0,0.00223109077316295,1.049922633966873,0.23515674174818965,0.0535815002820079,0.04754886917548654,0.1268840268840269,2,1
frozenset({'Tea'}),"frozenset({'Coffee', 'Cake'})",0.14263074484944532,0.054727945060750134,0.010036978341257264,0.07037037037037037,1.285821535821536,1.0,0.00223109077316295,1.0168265132812648,0.2592664656094951,0.0535815002820079,0.016548067011909643,0.1268840268840269,1,2
frozenset({'Cake'}),"frozenset({'Tea', 'Coffee'})",0.10385631273111463,0.049867934495509775,0.010036978341257264,0.09664292980671414,1.9379773953825197,1.0,0.0048578785410368615,1.051779077016795,0.5400898497127042,0.06985294117647059,0.04922999339714771,0.14895705812369606,1,2
